text,spam
Subject: wait too long and . . . 1147  secretly  attract women or men  add some spice to your life  secretlyattract  women or men  delete ,1
"Subject: re : visual numerics cnl licensing issues  anita ,  could you please arrange for the purchase of the following software by  coordinating with mike ?  thanks .  rakesh  - - - - - - - - - - - - - - - - - - - - - - forwarded by rakesh bharati / na / enron on 03 / 30 / 2001  10 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  mike bothwell on 03 / 30 / 2001 08 : 58 : 20 am  to : rakesh . bharati @ enron . com  cc :  subject : re : visual numerics cnl licensing issues  rakesh ,  thank you very much for selecting visual numeric ' s imsl cnl . attached is a  revision of the quote i previously sent , reflecting a change in the  quantity . if you have any quesitons , please contact me .  thank you ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  - - - - - original message - - - - -  from : rakesh . bharati @ enron . com [ mailto : rakesh . bharati @ enron . com ]  sent : thursday , march 29 , 2001 6 : 05 pm  to : mike bothwell  subject : re : visual numerics cnl licensing issues  mike ,  we have decided to go ahead with the purchase of a single license of imsl  libraries ( c / c + + ) for pc . i believe that would be cnl 4 . 0 forpc . let me  check the cost for the license before we finalize it as i have mislaid your  previous e - mail about the cost . it is my recollection that it is less than  $ 1500 . please e - mail to confirm with the precise number so we can proceed  wih that .  thanks ,  rakesh  mike bothwell on 03 / 29 / 2001 12 : 56 : 03 pm  to : "" ' rakesh . bharati @ enron . com ' ""  cc :  subject : visual numerics cnl licensing issues  rakesh , i ' m just following up to see how things looked on this . any change  in status ? let me know i can furhter help you .  best regards ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  rakesh ,  as we discussed , the cnl 4 . 0 pc libraries are not license managed . version  5 will be . the pc version 4 . 0 can be installed on a network drive and  called from networked pcs . as expected , we would ask that enron honor the  license agreement by allowing only the number of simultaneous uses  permitted  by the license . version 5 . 0 will be license managed and can be licensed as  node locked or floating .  with regard to unix licensing , the current version of cnl for unix is  license managed . it can be licensed as node locked or floating . if you  install the libraries on a unix server as node locked , the number of  simultaneous sessions on that server is not limited except by the  capabilities of the machine . a floating unix license would be checked out  by the individual user to be executed on a local machine .  also as mentioned , your investment is protected by allowing you to upgrade  in the future by paying only the price difference between your current and  desired platforms . this upgrade option only applies to licenses covered  under support .  if you have any additional questions , please let me know . i look forward  to  providing you the best math and statistical libraries available today to  help you solve your problems and understand your data .  best regards ,  mike bothwell  account manager  visual numerics inc .  phone : 713 - 954 - 6423  fax : 713 - 781 - 9260  cell : 713 - 417 - 9069  mbothwell @ houston . vni . com  visual numerics celebrates 30 years  as an independent software vendor  - vni - mb - enro - 014 - 1 03 - 30 - 2001 . doc",0
"Subject: you don _ t know how to get into search engine results ?  submitting your website in search engines may increase  your online sales dramatically .  lf you invested time and money into your website , you  simply must submit your website  oniine otherwise it wili be invisibie virtualiy , which means efforts spent in vain .  lf you want  people to know about your website and boost your revenues , the oniy way to do  that is to  make your site visible in places  where people search for information , i . e .  submit your  website in muitipie search engines .  submit your website oniine  and watch visitors stream to your e - business .  best regards ,  norasweeney _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: re : contact  vince ,  david ' s parents are coming to visit the weekend of the 7 th .  i will check with david , but i think the weekend of the 29 th is fine . i will  get back to you as soon as i can .  jana",0
"Subject: assume i will not be chairing . . .  dear joel ,  as i have not received any reply yet re email below ,  i have arranged other appts for myself on monday  and will not be chairing any seesions .  rgds raymond  345 pm ; 14 july  - - - - - - - - - - - - - - - - - - - - - - forwarded by raymond yeow / enron _ development on  07 / 14 / 2000 03 : 40 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  raymond yeow  07 / 12 / 2000 07 : 39 pm  to : "" joel hanley ""  cc :  subject : re : is there any chance you could chair a session at the conference ?  dear joel ,  will be glad to help out but had a look at the stream 2 on monday  and it is 1120 am - 520 pm covering three sessions ! ! !  could i suggest that i take the 1120 am - lunch session and you can find another  speaker ( s ) from day 2  to chair the afternoon session ( s ) .  i am flexible if you need me to take a different time on the monday .  rgds raymond  "" joel hanley "" on 07 / 12 / 2000 03 : 37 : 39 am  please respond to "" joel hanley ""  to :  cc :  subject : is there any chance you could chair a session at the conference ?  raymond ,  by the way , is there any chance you could chair a session at the conference ?  glenn labhart from the us has unfortunately dropped out so i am hoping you  could chair stream two on day one ( monday 17 th ) . please let me know asap . it  would be a great help is you ' re available .  best wishes ,  joel .  direct : + 44 ( 0 ) 20 7484 9885  ?  www . riskpublications . com",0
"Subject: you launched a website but no one visits it ?  submitting your website in search engines may increase  your online sales dramatically .  if you invested time and money into your website , you  simply must submit your website  oniine otherwise it wili be invisible virtuaily , which means efforts spent in vain .  lf you want  peopie to know about your website and boost your revenues , the only way to do  that is to  make your site visible in places  where people search for information , i . e .  submit your  website in multiple search engines .  submit your website online  and watch visitors stream to your e - business .  best regards ,  aracelishammond _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
"Subject: i am interested in buy ad space .  hi i hope all is well , i am interested in buy ad space . we are looking for premier publishers that can deliver high quality us traffic , which is why i have contacted you . all our cpm impression counts are raw , not based off unique , which raises the effective cpm . our ecpm rate is 10 - 1 , no one in the industry can beat that ! for this campaign i have a large budget and i would love to allocate a few thousand dollars for a test campaign . for reporting , we have partnered with zedo , so you will know what you are making in real - time . we work with over 100 publishers and we are looking to schedule a budget for our key players to carry over into 2006 . platinum ad network is always looking for elite publishers . i ' d love to discuss with you further about the synergies our companies might have .  thanks ,  michael mathews  media buyer  platinum ad network  mmathews @ platinumadnetworks . com ",1
"Subject: re : credit reserve update  we have not done any recent analysis since the end of january or maybe even  the end of december . i will have rod nelson and tanya rohauer relook at the  impact of the changing yield curve on credit reserve .  we have a lot of improvements we need to make on our current methodology when  we have the time and resources to dedicate to it .  bill  vince j kaminski  02 / 17 / 2000 10 : 14 am  to : william s bradford / hou / ect @ ect  cc : vince j kaminski / hou / ect @ ect  subject : credit reserve update  bill ,  most recent vincent ' s update on what ' s going on with the credit model .  another issue . i am increasingly concerned with our general approach to the  generation  of probabilities of default . recent developments in the credit markets are  likely to  change completely the dynamics and levels of interest rate spreads . i am  curious if  you looked at the credit reserve based on the current yield curves ( as of the  last few days ) .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 02 / 17 / 2000  09 : 05 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  vincent tang  02 / 15 / 2000 05 : 12 pm  to : vince j kaminski / hou / ect @ ect  cc : grant masson / hou / ect @ ect , tanya tamarchenko / hou / ect @ ect  subject : credit reserve update",0
"Subject: resignation effective june 5  vince ,  i am planning to make my resignation from enron so that june 5 th would be my last day at work . i am interested in the trading opportunity this fall and will talk again with andy about it . it will still make sense for me to resign in the mean time in order that i may start burning my non - compete period to open up my other options . in addition , it will allow me to be rehired without the burden of the noncompete should i come back in the fall .  regards ,  stinson",0
"Subject: cash : $ 48463  dear homeowner , you have been pre - approved for a $ 200 , 000 loan at a low fixed rate . this offer is being extended to you unconditionally and your credit is in no way a factor . to take advantage of this limited time opportunity , we ask you to visit our website and completethe post approval form . http : / / www . easy - instant - savings . com / i / lzevaw 5 kzxgvamvlenkvnmo 3 dhjommto  clair spearsua logan financial group - - - - - - - - - - - - - - - - - - - - - - 7 : meijer malory bourahla krabicka omahahttp : / / www . easy - instant - savings . com / rem . php . . . not interested",1
